Algorithm,n,trial,TimeMs
BubbleSort,1000,1,3.9288
MergeSort,1000,1,1.2114
QuickSort,1000,1,0.8264
HeapSort,1000,1,1.5965
SelectionSort,1000,1,2.0377
BubbleSort,1000,2,0.9059
MergeSort,1000,2,0.1109
QuickSort,1000,2,0.0865
HeapSort,1000,2,0.1486
SelectionSort,1000,2,0.9658
BubbleSort,1000,3,1.6558
MergeSort,1000,3,0.1878
QuickSort,1000,3,0.1078
HeapSort,1000,3,0.1592
SelectionSort,1000,3,1.0779
BubbleSort,1000,4,1.8107
MergeSort,1000,4,0.5971
QuickSort,1000,4,0.0832
HeapSort,1000,4,0.2005
SelectionSort,1000,4,0.2766
BubbleSort,1000,5,1.6723
MergeSort,1000,5,0.693
QuickSort,1000,5,0.1368
HeapSort,1000,5,0.2007
SelectionSort,1000,5,0.2846
BubbleSort,5000,1,23.1197
MergeSort,5000,1,0.491
QuickSort,5000,1,0.3348
HeapSort,5000,1,0.6169
SelectionSort,5000,1,4.9342
BubbleSort,5000,2,19.4415
MergeSort,5000,2,0.488
QuickSort,5000,2,0.3066
HeapSort,5000,2,0.4891
SelectionSort,5000,2,4.8356
BubbleSort,5000,3,18.1993
MergeSort,5000,3,0.437
QuickSort,5000,3,0.2933
HeapSort,5000,3,0.4657
SelectionSort,5000,3,4.7446
BubbleSort,5000,4,17.2041
MergeSort,5000,4,0.4322
QuickSort,5000,4,0.3162
HeapSort,5000,4,0.4846
SelectionSort,5000,4,4.9456
BubbleSort,5000,5,18.3164
MergeSort,5000,5,0.4616
QuickSort,5000,5,0.3271
HeapSort,5000,5,0.464
SelectionSort,5000,5,4.6305
BubbleSort,10000,1,91.7117
MergeSort,10000,1,0.9028
QuickSort,10000,1,0.6764
HeapSort,10000,1,1.1346
SelectionSort,10000,1,18.0083
BubbleSort,10000,2,90.0009
MergeSort,10000,2,0.8733
QuickSort,10000,2,0.6413
HeapSort,10000,2,0.853
SelectionSort,10000,2,18.6571
BubbleSort,10000,3,90.0296
MergeSort,10000,3,0.8704
QuickSort,10000,3,0.6526
HeapSort,10000,3,0.8814
SelectionSort,10000,3,17.582
BubbleSort,10000,4,87.4117
MergeSort,10000,4,0.9226
QuickSort,10000,4,0.5941
HeapSort,10000,4,0.8133
SelectionSort,10000,4,17.4955
BubbleSort,10000,5,87.1002
MergeSort,10000,5,0.8602
QuickSort,10000,5,0.631
HeapSort,10000,5,0.7016
SelectionSort,10000,5,17.6052
BubbleSort,20000,1,411.7634
MergeSort,20000,1,2.0003
QuickSort,20000,1,1.5857
HeapSort,20000,1,1.7545
SelectionSort,20000,1,75.0781
BubbleSort,20000,2,419.7739
MergeSort,20000,2,1.8887
QuickSort,20000,2,1.4627
HeapSort,20000,2,1.6659
SelectionSort,20000,2,69.1662
BubbleSort,20000,3,401.2177
MergeSort,20000,3,1.891
QuickSort,20000,3,1.3252
HeapSort,20000,3,1.5139
SelectionSort,20000,3,63.2029
BubbleSort,20000,4,401.7505
MergeSort,20000,4,1.8696
QuickSort,20000,4,1.3381
HeapSort,20000,4,1.4499
SelectionSort,20000,4,62.0926
BubbleSort,20000,5,408.1578
MergeSort,20000,5,1.873
QuickSort,20000,5,1.407
HeapSort,20000,5,1.6642
SelectionSort,20000,5,57.1425
BubbleSort,50000,1,2864.1617
MergeSort,50000,1,4.7945
QuickSort,50000,1,3.0573
HeapSort,50000,1,3.9684
SelectionSort,50000,1,375.0477
BubbleSort,50000,2,2835.0965
MergeSort,50000,2,5.1695
QuickSort,50000,2,3.4745
HeapSort,50000,2,4.4602
SelectionSort,50000,2,379.5891
BubbleSort,50000,3,2812.0004
MergeSort,50000,3,5.0492
QuickSort,50000,3,3.5806
HeapSort,50000,3,4.3102
SelectionSort,50000,3,367.1736
BubbleSort,50000,4,2854.5309
MergeSort,50000,4,4.9476
QuickSort,50000,4,3.2634
HeapSort,50000,4,4.5005
SelectionSort,50000,4,376.415
BubbleSort,50000,5,2834.4057
MergeSort,50000,5,5.1464
QuickSort,50000,5,3.9297
HeapSort,50000,5,4.8337
SelectionSort,50000,5,360.2108
